Gambar Produk,Nama Produk,Harga Produk,Rating Produk,Terjual,Link Produk
https://images.tokopedia.net/img/cache/500-square/hDjmkQ/2024/4/30/84401c75-cc03-4288-8bb7-680cd5d1ef0f.jpg.webp?ect=4g,Clean & Clear Foaming Face Wash Sabun Cuci Muka Pembersih Wajah 100ml | Cleanser Jerawat,Rp21.400,5.0,10rb+ terjual,https://www.tokopedia.com/johnsonnjohnson/clean-clear-foaming-face-wash-sabun-cuci-muka-pembersih-wajah-100ml-cleanser-jerawat?extParam=ivf%3Dtrue&src=topads
https://images.tokopedia.net/img/cache/500-square/product-1/2020/7/23/12048559/12048559_febb36cd-0ee4-4188-93c0-d55b1ab1638a_500_500.webp?ect=4g,SENKA Perfect Whip Facial Foam 120g,Rp48.840,4.9,750+ terjual,https://www.tokopedia.com/century-online/senka-perfect-whip-facial-foam-120g?extParam=ivf%3Dfalse%26whid%3D16916013&src=topads
https://images.tokopedia.net/img/cache/500-square/VqbcmM/2023/8/25/4bfa8d3d-e5ca-4fbc-834f-f327e445d3ae.jpg.webp?ect=4g,SOMETHINC 350ml Low pH Gentle Jelly Cleanser - Face Wash,Rp184.500,5.0,1rb+ terjual,https://www.tokopedia.com/somethinc/somethinc-350ml-low-ph-gentle-jelly-cleanser-face-wash?extParam=cmp%3D1%26ivf%3Dfalse&src=topads
https://images.tokopedia.net/img/cache/500-square/VqbcmM/2022/11/16/ae868ef9-5064-4e43-b344-25852bd6ab2b.jpg.webp?ect=4g,Hada Labo Ultimate Moist Facial Wash 100gr,No price,5.0,4rb+ terjual,https://www.tokopedia.com/watsons/hada-labo-ultimate-moist-facial-wash-100gr?extParam=ivf%3Dfalse&src=topads
https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/4/19/e17b1558-dbf1-4b1a-aab7-43e3165cb23b.png.webp?ect=4g,Flacenta Facial Wash 100gr Goat's Milk,Rp20.000,4.9,50+ terjual,https://www.tokopedia.com/sparindo/flacenta-facial-wash-100gr-goat-s-milk-1pcs-127c4?extParam=ivf%3Dfalse&src=topads
https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/8/19/e880d35a-e0dd-4f4c-9a04-6d5b9e291fd7.png.webp?ect=4g,Barber Daily Acne Care & Oil Control Face Wash 100mL,Rp39.500,4.9,6rb+ terjual,https://www.tokopedia.com/makarizo/barber-daily-acne-care-oil-control-face-wash-100ml?extParam=ivf%3Dtrue%26keyword%3Dface+wash%26search_id%3D2024112504013774C531566B69313A4XYF%26shop_tier%3D2%26src%3Dsearch
https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/10/1/f862c190-1973-4afe-9e47-260786285577.png.webp?ect=4g,GATSBY Cooling Face Wash - Perfect Clean,Rp23.205,5.0,3rb+ terjual,https://www.tokopedia.com/mandomofficial/gatsby-cooling-face-wash-perfect-clean?extParam=ivf%3Dfalse%26keyword%3Dface+wash%26search_id%3D2024112504013774C531566B69313A4XYF%26shop_tier%3D2%26src%3Dsearch%26whid%3D13056835
https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/6/10/7ab06240-7f62-4281-a5f5-95c997cb2fc5.png.webp?ect=4g,Poise Facial Foam 100 gr,Rp20.700,5.0,7rb+ terjual,https://www.tokopedia.com/wingsofficial/poise-facial-foam-100-gr-clear-shine?extParam=ivf%3Dfalse%26keyword%3Dface+wash%26search_id%3D2024112504013774C531566B69313A4XYF%26shop_tier%3D2%26src%3Dsearch
https://images.tokopedia.net/img/cache/500-square/VqbcmM/2020/11/10/7b175c4d-4f17-4364-b037-8f980ad745a3.jpg.webp?ect=4g,Hada Labo Gokujyun Ultimate Moisturizing Face Wash,Rp23.500,5.0,10rb+ terjual,https://www.tokopedia.com/perfectbeauty/hada-labo-gokujyun-ultimate-moisturizing-face-wash-50ml?extParam=ivf%3Dfalse%26keyword%3Dface+wash%26search_id%3D2024112504013774C531566B69313A4XYF%26shop_tier%3D2%26src%3Dsearch
https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/6/14/f6960f8c-cb2e-4026-a0e3-cc80a2c6f87a.png.webp?ect=4g,Mineral Botanica Perfect Purifying Facial Foam,No price,4.9,5rb+ terjual,https://www.tokopedia.com/mineralbotanica/mineral-botanica-perfect-purifying-facial-foam?extParam=ivf%3Dfalse%26keyword%3Dface+wash%26search_id%3D2024112504013774C531566B69313A4XYF%26shop_tier%3D2%26src%3Dsearch
https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/11/12/f69b9f27-193d-4b96-a4f4-182434da8242.jpg.webp?ect=4g,La Roche Posay Effaclar Foaming Gel Cleanser Refill 400ml - Facial Wash Kulit Jerawat/ Berminyak,Rp344.000,4.9,750+ terjual,https://www.tokopedia.com/larocheposayofficial/la-roche-posay-effaclar-foaming-gel-cleanser-refill-400ml-facial-wash-kulit-jerawat-berminyak?extParam=ivf%3Dfalse&src=topads
https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/3/6/1230f960-457c-4818-8e99-3fd9cc46f8df.jpg.webp?ect=4g,Paket Ponds Age Miracle Youthful Glow - Facial Foam + Moisturizer,Rp131.506,4.9,250+ terjual,https://www.tokopedia.com/unilevermall/paket-ponds-age-miracle-youthful-glow-facial-foam-moisturizer?extParam=cmp%3D1%26ivf%3Dfalse&src=topads
https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/9/17/b7a9bcd5-8e5b-4571-b6c3-cabeda420678.jpg.webp?ect=4g,"Paket BDL Facial Wash Papaya,  Flacenta Day Cream & Flacenta Night Cream",Rp64.000,None,None,https://www.tokopedia.com/sparindo/paket-bdl-facial-wash-papaya-flacenta-day-cream-flacenta-night-cream?extParam=ivf%3Dfalse&src=topads
https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/11/14/34a296a7-b2fe-437e-8fd2-4f952fcd0ed8.png.webp?ect=4g,CeraVe Foaming Cleanser 88ml – Ceramide Face Wash for Oily Skin,Rp117.400,5.0,250+ terjual,https://www.tokopedia.com/ceraveindonesia/cerave-foaming-cleanser-88ml-ceramide-face-wash-for-oily-skin?extParam=ivf%3Dtrue&src=topads
https://images.tokopedia.net/img/cache/500-square/hDjmkQ/2024/7/5/d8001176-f740-429d-8305-153a6a122e8b.jpg.webp?ect=4g,"BDL Skin Minimalism - Kulit Kusam dan Berjerawat, Day Cream + Night Cream + Facial Wash Papaya",Rp64.000,4.7,40+ terjual,https://www.tokopedia.com/sparindo/bdl-skin-minimalism-kulit-kusam-dan-berjerawat-day-cream-night-cream-facial-wash-papaya-1-paket-d8bde?extParam=ivf%3Dfalse&src=topads
https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/8/19/aabcc8d3-acc0-4502-b265-5e6908b1cde5.png.webp?ect=4g,Dual Pack Ultimate Clenser Barber Daily Acne Care & Oil Control Face Wash 100mL x 2,Rp75.000,4.9,2rb+ terjual,https://www.tokopedia.com/makarizo/dual-pack-ultimate-clenser-barber-daily-acne-care-oil-control-face-wash-100ml-x-2?extParam=ivf%3Dtrue%26keyword%3Dface+wash%26search_id%3D2024112504013774C531566B69313A4XYF%26shop_tier%3D2%26src%3Dsearch
https://images.tokopedia.net/img/cache/500-square/VqbcmM/2023/9/29/0468bc7a-df23-438e-b478-493bdc82468b.png.webp?ect=4g,"￼Wardah Perfect Bright Creamy Foam Bright + Oil Control - Facial Wash Untuk Kulit Berminyak - Mengontrol Produksi Minyak Hingga 12 Jam dan Membersihkan Kulit Tanpa Rasa Ketarik - Cerah, Sehat, & Bebas Kilap",Rp20.900,5.0,10rb+ terjual,https://www.tokopedia.com/wardah-official/wardah-perfect-bright-creamy-foam-bright-oil-control-facial-wash-untuk-kulit-berminyak-mengontrol-produksi-minyak-hingga-12-jam-dan-membersihkan-kulit-tanpa-rasa-ketarik-cerah-sehat-bebas-kilap-50-ml-6c3a6?extParam=ivf%3Dfalse%26keyword%3Dface+wash%26search_id%3D2024112504013774C531566B69313A4XYF%26shop_tier%3D2%26src%3Dsearch%26whid%3D97508
https://images.tokopedia.net/img/cache/500-square/VqbcmM/2023/4/4/0ca4f2fe-57de-4f18-8b6d-1c876618acbe.jpg.webp?ect=4g,SENKA Perfect Whip Facial Foam 120 gr,Rp61.740,4.9,10rb+ terjual,https://www.tokopedia.com/senkaid/senka-perfect-whip-facial-foam-120-gr?extParam=ivf%3Dfalse%26keyword%3Dface+wash%26search_id%3D2024112504013774C531566B69313A4XYF%26shop_tier%3D2%26src%3Dsearch
https://images.tokopedia.net/img/cache/500-square/VqbcmM/2023/2/12/2f8c2253-9358-4f34-be43-185426df1bc6.jpg.webp?ect=4g,Mineral Botanica Perfect Purifying Facial Foam x 2pcs (Twin Pack),No price,5.0,1rb+ terjual,https://www.tokopedia.com/mineralbotanica/mineral-botanica-perfect-purifying-facial-foam-x-2pcs-twin-pack?extParam=ivf%3Dfalse%26keyword%3Dface+wash%26search_id%3D2024112504013774C531566B69313A4XYF%26shop_tier%3D2%26src%3Dsearch
https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/11/12/b4e1249b-a540-467e-881b-0cb0dcdcd234.jpg.webp?ect=4g,Whitelab Brightening Facial Wash - Sabun Pembersih Muka Pencerah,Rp29.900,4.9,50rb+ terjual,https://www.tokopedia.com/whitelab/whitelab-brightening-facial-wash-sabun-pembersih-muka-pencerah-100gr?extParam=cmp%3D1%26ivf%3Dtrue%26keyword%3Dface+wash%26search_id%3D2024112504013774C531566B69313A4XYF%26shop_tier%3D2%26src%3Dsearch
https://images.tokopedia.net/img/cache/500-square/VqbcmM/2023/5/26/4b32aaa5-f1be-4423-9999-3835dca05044.jpg.webp?ect=4g,NAAVAGREEN Facial Wash,Rp49.585,4.9,1rb+ terjual,https://www.tokopedia.com/naavagreen-official/naavagreen-facial-wash?extParam=ivf%3Dfalse%26keyword%3Dface+wash%26search_id%3D2024112504013774C531566B69313A4XYF%26shop_tier%3D2%26src%3Dsearch
https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/5/20/98540684-b85d-4cfc-bf8d-57a305bc8fd5.jpg.webp?ect=4g,Hadalabo Gokujyun Moisturizing Face Wash 100 gr,Rp43.650,5.0,7rb+ terjual,https://www.tokopedia.com/rohto-official-store/hadalabo-gokujyun-moisturizing-face-wash-100-gr?extParam=ivf%3Dtrue%26keyword%3Dface+wash%26search_id%3D2024112504013774C531566B69313A4XYF%26shop_tier%3D2%26src%3Dsearch
https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/5/20/b122f66a-dcb6-4996-b3b9-2c06aa0be453.jpg.webp?ect=4g,HADA LABO GOKUJYUN ULTIMATE MOISTURIZING FACE WASH 50GR,No price,5.0,2rb+ terjual,https://www.tokopedia.com/rohto-official-store/hada-labo-gokujyun-ultimate-moisturizing-face-wash-50gr?extParam=cmp%3D1%26ivf%3Dfalse%26keyword%3Dface+wash%26search_id%3D2024112504013774C531566B69313A4XYF%26shop_tier%3D2%26src%3Dsearch
https://images.tokopedia.net/img/cache/500-square/VqbcmM/2020/11/18/d8d3c376-bedf-4ebb-a8e2-e6cc4b30b718.jpg.webp?ect=4g,Hada Labo Shirojyun Face Wash 100g,No price,5.0,3rb+ terjual,https://www.tokopedia.com/nihonmart/hada-labo-shirojyun-face-wash-100g?extParam=ivf%3Dfalse%26keyword%3Dface+wash%26search_id%3D2024112504013774C531566B69313A4XYF%26shop_tier%3D2%26src%3Dsearch
https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/6/25/1bd8e3d4-ce60-47eb-b5ef-a64eb94ae7c9.jpg.webp?ect=4g,NIVEA MEN Facial Foam Extra Bright Dark Spot Minimizer 100ml,Rp31.570,4.9,10rb+ terjual,https://www.tokopedia.com/niveaofficial/nivea-men-facial-foam-extra-bright-dark-spot-minimizer-100ml?extParam=cmp%3D1%26ivf%3Dfalse%26keyword%3Dface+wash%26search_id%3D2024112504013774C531566B69313A4XYF%26shop_tier%3D2%26src%3Dsearch
https://images.tokopedia.net/img/cache/500-square/VqbcmM/2022/10/28/b8badaf3-6e08-4c04-a078-2df822ca2aa5.png.webp?ect=4g,CAVE Face Wash For Brightening 2pcs,Rp179.000,5.0,750+ terjual,https://www.tokopedia.com/cavemensofficial/cave-face-wash-for-brightening-2pcs?extParam=ivf%3Dfalse&src=topads
https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/9/17/c4c0c32e-0f2b-4d4f-b482-43eea89b0aca.jpg.webp?ect=4g,Paket BDL Facial Wash Papaya & NOSY Hand Soap Pump Lemon,Rp48.500,None,None,https://www.tokopedia.com/sparindo/paket-bdl-facial-wash-papaya-nosy-hand-soap-pump-lemon?extParam=ivf%3Dfalse&src=topads
https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/4/12/96ba385c-703e-48cf-8952-074139695a51.png.webp?ect=4g,Clorismen 3 IN One Cleansing Power Face Wash - Sabun Cuci Muka Pria,No price,4.9,100+ terjual,https://www.tokopedia.com/clorismenofficialshop/clorismen-3-in-one-cleansing-power-face-wash-sabun-cuci-muka-pria-1-pcs-836f2?extParam=ivf%3Dtrue&src=topads
https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/9/17/e2e10d70-5c46-44d1-a2f6-690394c6fad8.jpg.webp?ect=4g,Paket BDL Facial Wash Papaya & Nosy Shampoo Motor Sachet,Rp47.000,None,None,https://www.tokopedia.com/sparindo/paket-bdl-facial-wash-papaya-nosy-shampoo-motor-sachet?extParam=ivf%3Dfalse&src=topads
https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/11/8/fd6279bb-ed1c-4e1a-a16d-12aa763cd384.jpg.webp?ect=4g,Kahf Paket Face Care Isi 2pcs - Face Wash & Sunscreen,Rp63.000,4.9,4rb+ terjual,https://www.tokopedia.com/kahfofficial/kahf-paket-face-care-isi-2pcs-face-wash-sunscreen-brightening-set-a7d47?extParam=cmp%3D1%26ivf%3Dfalse&src=topads
